id,title,location,link,date_posted,company,categories,key
2116716,Payroll Tax Analyst,,https://jobs.fidelity.com/en/jobs/2116716/payroll-tax-analyst/,,Fidelity,,Payroll Tax Analyst||https://jobs.fidelity.com/en/jobs/2116716/payroll-tax-analyst/||Fidelity
2118944,"Associate Analyst, Brokerage Treasury Operations",,https://jobs.fidelity.com/en/jobs/2118944/associate-analyst-brokerage-treasury-operations/,,Fidelity,,"Associate Analyst, Brokerage Treasury Operations||https://jobs.fidelity.com/en/jobs/2118944/associate-analyst-brokerage-treasury-operations/||Fidelity"
2121059,"Principal Software Engineer (C++, Market Data, LINUX)",,https://jobs.fidelity.com/en/jobs/2121059/principal-software-engineer-cplusplus-market-data-linux/,,Fidelity,,"Principal Software Engineer (C++, Market Data, LINUX)||https://jobs.fidelity.com/en/jobs/2121059/principal-software-engineer-cplusplus-market-data-linux/||Fidelity"
2120245,Principal Crypto Technology Risk Analyst - Fidelity Digital Assets®,,https://jobs.fidelity.com/en/jobs/2120245/principal-crypto-technology-risk-analyst-fidelity-digital-assets/,,Fidelity,,Principal Crypto Technology Risk Analyst - Fidelity Digital Assets®||https://jobs.fidelity.com/en/jobs/2120245/principal-crypto-technology-risk-analyst-fidelity-digital-assets/||Fidelity
2121396,Analyst - Investments COE,,https://jobs.fidelity.com/en/jobs/2121396/analyst-investments-coe/,,Fidelity,,Analyst - Investments COE||https://jobs.fidelity.com/en/jobs/2121396/analyst-investments-coe/||Fidelity
2119805,Sr. Fraud Technology Risk Analyst,,https://jobs.fidelity.com/en/jobs/2119805/sr-fraud-technology-risk-analyst/,,Fidelity,,Sr. Fraud Technology Risk Analyst||https://jobs.fidelity.com/en/jobs/2119805/sr-fraud-technology-risk-analyst/||Fidelity
2120262,Senior Cyber Technology Risk Analyst,,https://jobs.fidelity.com/en/jobs/2120262/senior-cyber-technology-risk-analyst/,,Fidelity,,Senior Cyber Technology Risk Analyst||https://jobs.fidelity.com/en/jobs/2120262/senior-cyber-technology-risk-analyst/||Fidelity
2120414,Principal Quant Data Engineer,,https://jobs.fidelity.com/en/jobs/2120414/principal-quant-data-engineer/,,Fidelity,,Principal Quant Data Engineer||https://jobs.fidelity.com/en/jobs/2120414/principal-quant-data-engineer/||Fidelity
2116297,Principal Data Scientist,,https://jobs.fidelity.com/en/jobs/2116297/principal-data-scientist/,,Fidelity,,Principal Data Scientist||https://jobs.fidelity.com/en/jobs/2116297/principal-data-scientist/||Fidelity
2118488,Principal Data Modeler - Alternative Investments,,https://jobs.fidelity.com/en/jobs/2118488/principal-data-modeler-alternative-investments/,,Fidelity,,Principal Data Modeler - Alternative Investments||https://jobs.fidelity.com/en/jobs/2118488/principal-data-modeler-alternative-investments/||Fidelity
2118230,"Director, Data Science",,https://jobs.fidelity.com/en/jobs/2118230/director-data-science/,,Fidelity,,"Director, Data Science||https://jobs.fidelity.com/en/jobs/2118230/director-data-science/||Fidelity"
